state,year,totalvotes
ALABAMA,2024,2235028
ALASKA,2024,313470
ARIZONA,2024,3353102
ARKANSAS,2024,1156146
CALIFORNIA,2024,15357876
COLORADO,2024,3105600
CONNECTICUT,2024,1727031
DELAWARE,2024,504109
DISTRICT OF COLUMBIA,2024,315261
FLORIDA,2024,10793163
GEORGIA,2024,5211135
HAWAII,2024,506705
IDAHO,2024,880218
ILLINOIS,2024,5479764
INDIANA,2024,2900315
IOWA,2024,1634297
KANSAS,2024,1273453
KENTUCKY,2024,2037151
LOUISIANA,2024,1975375
MAINE,2024,806892
MARYLAND,2024,2938127
MASSACHUSETTS,2024,3377853
MICHIGAN,2024,5553169
MINNESOTA,2024,3176011
MISSISSIPPI,2024,1211662
MISSOURI,2024,2929826
MONTANA,2024,583985
NEBRASKA,2024,934811
NEVADA,2024,1456402
NEW HAMPSHIRE,2024,814011
NEW JERSEY,2024,4188240
NEW MEXICO,2024,902193
NEW YORK,2024,7873210
NORTH CAROLINA,2024,5613836
NORTH DAKOTA,2024,358832
OHIO,2024,5713815
OKLAHOMA,2024,1535812
OREGON,2024,2159035
PENNSYLVANIA,2024,6966738
RHODE ISLAND,2024,498041
SOUTH CAROLINA,2024,2512199
SOUTH DAKOTA,2024,418940
TENNESSEE,2024,3023130
TEXAS,2024,11228847
UTAH,2024,1446384
VERMONT,2024,355186
VIRGINIA,2024,4410480
WASHINGTON,2024,3776772
WEST VIRGINIA,2024,747865
WISCONSIN,2024,3365855
WYOMING,2024,262160
