,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,NEVADA,NV,121,63.52,49,25.72,198,103.95,368,193.19
1,2002,NEVADA,NV,115,60.37,0,0.0,0,0.0,115,60.37
2,2004,NEVADA,NV,90,47.25,26,13.65,271,142.27,387,203.17
3,2006,NEVADA,NV,518,271.95,52,27.3,0,0.0,570,299.25
4,2008,NEVADA,NV,224,117.6,0,0.0,57,29.92,281,147.52
5,2010,NEVADA,NV,1217,638.92,122,64.05,0,0.0,1339,702.97
6,2012,NEVADA,NV,237,124.42,604,317.1,105,55.12,946,496.64
7,2014,NEVADA,NV,346,181.65,0,0.0,0,0.0,346,181.65
8,2016,NEVADA,NV,815,427.87,289,151.72,290,152.25,1394,731.84
9,2018,NEVADA,NV,226,118.65,118,61.95,0,0.0,344,180.60
10,2020,NEVADA,NV,447,234.67,0,0.0,293,153.82,740,388.49
11,2022,NEVADA,NV,479,251.47,898,471.45,0,0.0,1377,722.92
12,2024,NEVADA,NV,0,0.0,412,216.3,226,118.65,638,334.95
